index,16,19,22,25,28,31,34,37,40,43,46,49,52,55,58,62,65,68,71,74,77,80,83,86,89,92,95,98,101,104
index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
time,21:20:59  1.11.2023,21:26:28  1.11.2023,21:31:56  1.11.2023,21:37:00  1.11.2023,21:42:38  1.11.2023,21:47:31  1.11.2023,21:52:05  1.11.2023,21:57:27  1.11.2023,22:03:48  1.11.2023,22:12:28  1.11.2023,22:17:35  1.11.2023,22:23:24  1.11.2023,22:29:09  1.11.2023,22:34:16  1.11.2023,22:39:45  1.11.2023,7:44:37  2.11.2023,7:50:55  2.11.2023,7:55:44  2.11.2023,8:00:35  2.11.2023,8:05:32  2.11.2023,8:10:29  2.11.2023,8:15:40  2.11.2023,8:20:52  2.11.2023,8:25:50  2.11.2023,8:31:03  2.11.2023,8:36:44  2.11.2023,8:41:32  2.11.2023,8:46:27  2.11.2023,8:51:22  2.11.2023,8:55:52  2.11.2023
id,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP
2221,3748,3639,3499,3668,3619,3748,2941,2841,2801,2212,2247,2135,1072,1078,979,8763,9052,9272,6879,7198,6889,4616,4317,4675,1790,1963,1663,544,536,493
2321,3788,3599,3489,3678,3589,3768,2931,2831,2811,2180,2247,2119,1050,1062,989,8803,9052,9232,6919,7248,6919,4636,4346,4705,1803,1924,1704,541,537,502
2421,3778,3629,3499,3649,3619,3768,2961,2831,2831,2176,2231,2129,1069,1072,999,8833,9092,9311,6889,7278,6969,4636,4336,4695,1797,1947,1688,525,536,502
2521,3798,3629,3499,3688,3629,3788,2971,2811,2841,2221,2247,2132,1075,1088,979,8863,9092,9321,6939,7288,6959,4655,4346,4705,1781,1950,1682,539,530,500
2621,3798,3649,3509,3698,3649,3788,2941,2841,2821,2202,2256,2125,1062,1101,986,8863,9122,9321,6949,7308,6949,4655,4386,4745,1793,1966,1691,528,539,497
2721,3808,3629,3539,3698,3658,3768,2961,2831,2841,2205,2228,2119,1034,1091,983,8883,9142,9341,6969,7317,7008,4626,4366,4745,1790,1937,1694,542,536,486
2821,3798,3668,3529,3708,3619,3808,2931,2831,2821,2192,2256,2132,1069,1082,992,8893,9172,9361,6979,7337,7008,4685,4356,4775,1829,1950,1682,523,529,499
2921,3818,3678,3529,3698,3658,3788,2941,2871,2831,2221,2256,2138,1069,1082,983,8893,9202,9391,6979,7347,6998,4685,4376,4755,1803,1934,1704,531,540,504
3021,3828,3649,3509,3708,3668,3808,2971,2811,2821,2202,2247,2119,1043,1072,999,8923,9202,9401,6988,7357,7018,4705,4386,4765,1790,1959,1688,537,552,496
3121,3828,3609,3539,3718,3639,3788,2971,2841,2841,2218,2224,2151,1069,1078,983,8943,9192,9411,7038,7357,7028,4675,4416,4765,1816,1956,1694,532,548,499
3221,3818,3649,3509,3708,3678,3808,2971,2831,2841,2215,2263,2145,1050,1059,992,8973,9222,9401,7028,7367,7078,4695,4396,4765,1793,1959,1678,531,552,492
3321,3808,3649,3499,3728,3658,3808,2951,2841,2841,2205,2269,2135,1050,1107,1005,8963,9232,9421,7048,7357,7098,4705,4396,4785,1781,1979,1691,542,542,496
3421,3838,3668,3539,3718,3649,3808,2981,2791,2831,2212,2250,2122,1062,1085,989,8963,9242,9431,7048,7367,7068,4705,4386,4785,1803,1950,1701,534,536,496
3521,3838,3668,3549,3728,3639,3798,2971,2851,2861,2196,2259,2125,1088,1082,999,8973,9262,9461,7058,7367,7048,4685,4416,4795,1800,1975,1688,530,528,501
3621,3808,3649,3559,3718,3688,3778,2971,2831,2831,2221,2237,2138,1091,1098,986,8982,9262,9441,7078,7407,7068,4685,4376,4805,1809,1959,1691,546,547,510
3721,3828,3678,3519,3718,3658,3818,2941,2851,2851,2221,2279,2125,1104,1114,976,9022,9272,9471,7068,7407,7098,4725,4456,4795,1803,1959,1714,534,544,509
3821,3828,3658,3559,3728,3668,3818,2991,2891,2841,2208,2253,2135,1072,1075,986,8973,9321,9491,7078,7397,7108,4695,4426,4795,1816,1963,1694,553,532,497
3921,3848,3668,3539,3738,3658,3798,3000,2831,2881,2215,2272,2135,1069,1066,995,8992,9311,9481,7078,7427,7118,4705,4406,4845,1787,1975,1678,545,520,499
4021,3838,3668,3539,3738,3688,3838,2981,2841,2861,2208,2247,2145,1091,1075,992,9002,9272,9471,7088,7427,7078,4705,4426,4805,1816,1979,1704,540,547,511
4121,3838,3649,3529,3748,3688,3818,2991,2861,2851,2224,2272,2122,1059,1101,979,9032,9311,9491,7128,7427,7118,4735,4436,4825,1809,1966,1691,552,542,504
4221,3828,3658,3529,3718,3658,3828,3000,2841,2841,2192,2263,2157,1078,1082,1002,9012,9321,9491,7098,7427,7118,4715,4436,4805,1829,1972,1717,535,529,496
4321,3828,3668,3549,3698,3678,3828,2991,2841,2861,2189,2250,2141,1059,1104,970,9052,9321,9531,7098,7447,7138,4725,4426,4815,1809,1956,1701,529,542,498
4421,3818,3688,3529,3748,3678,3798,3000,2851,2891,2212,2275,2135,1059,1107,1002,9032,9321,9491,7118,7457,7128,4755,4446,4795,1803,1947,1707,550,547,495
4521,3858,3688,3549,3698,3678,3808,2991,2871,2891,2205,2247,2132,1072,1082,976,9072,9361,9481,7088,7467,7138,4755,4446,4825,1803,1995,1694,526,532,517
4621,3838,3668,3559,3748,3688,3798,2991,2871,2891,2208,2247,2173,1082,1069,960,9072,9341,9531,7108,7447,7128,4745,4456,4815,1809,1972,1714,528,537,498
4721,3858,3678,3549,3748,3688,3808,2991,2861,2891,2218,2269,2151,1056,1091,992,9072,9351,9541,7098,7467,7118,4755,4446,4815,1809,1969,1688,531,549,506
