index,23,26,32,29,35,38,41,44,47,50,53,56,59,62,65
index,,,,,,,,,,,,,,,
time,20:04:23  2.11.2023,20:10:38  2.11.2023,20:23:07  2.11.2023,20:16:22  2.11.2023,20:31:14  2.11.2023,20:37:38  2.11.2023,20:44:21  2.11.2023,20:51:37  2.11.2023,20:58:14  2.11.2023,21:05:45  2.11.2023,21:11:28  2.11.2023,21:17:49  2.11.2023,21:24:44  2.11.2023,21:31:33  2.11.2023,21:38:31  2.11.2023
id,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP,OJIP
1721,12126,13069,13557,8295,8235,8135,5204,4586,5373,1468,1621,1362,519,508,484
1821,12224,13166,13654,8374,8285,8165,5234,4636,5373,1500,1627,1372,530,509,495
1921,12289,13264,13719,8404,8285,8165,5264,4646,5423,1490,1637,1394,517,492,493
2021,12354,13329,13752,8434,8354,8225,5254,4655,5413,1516,1631,1356,533,509,491
2121,12386,13394,13849,8494,8354,8275,5274,4695,5413,1500,1634,1375,522,495,490
2221,12484,13427,13914,8494,8414,8265,5284,4655,5443,1509,1643,1366,539,484,482
2321,12516,13492,13979,8524,8434,8285,5294,4675,5453,1490,1647,1372,530,490,490
2421,12549,13492,13979,8544,8474,8295,5314,4675,5473,1503,1650,1398,523,499,483
2521,12549,13557,13979,8594,8474,8344,5304,4755,5473,1490,1634,1366,534,488,495
2621,12614,13589,14044,8634,8514,8364,5333,4725,5503,1503,1647,1366,516,501,492
2721,12614,13589,14044,8643,8514,8414,5343,4715,5483,1519,1669,1394,524,509,484
2821,12646,13622,14109,8673,8524,8384,5314,4755,5543,1497,1653,1391,523,492,496
2921,12711,13622,14109,8673,8544,8434,5373,4745,5543,1503,1653,1356,526,499,484
3021,12679,13654,14109,8723,8574,8444,5393,4745,5533,1519,1653,1391,529,500,503
3121,12744,13687,14142,8723,8594,8434,5373,4745,5553,1503,1656,1388,544,508,507
3221,12711,13719,14174,8713,8614,8464,5383,4775,5543,1500,1653,1388,527,491,489
3321,12744,13719,14174,8733,8614,8454,5373,4795,5543,1519,1663,1401,539,509,491
3421,12744,13719,14207,8733,8634,8454,5403,4805,5553,1513,1650,1388,522,499,485
3521,12744,13752,14207,8733,8634,8464,5403,4795,5553,1497,1643,1378,528,508,489
3621,12776,13784,14207,8763,8643,8534,5373,4825,5573,1513,1669,1382,527,486,496
3721,12776,13752,14174,8733,8663,8504,5383,4795,5543,1500,1634,1369,538,502,486
3821,12776,13817,14207,8783,8683,8524,5403,4825,5583,1509,1669,1375,532,495,496
3921,12809,13784,14207,8793,8643,8544,5433,4825,5603,1503,1685,1391,514,513,490
4021,12809,13784,14174,8773,8683,8514,5433,4795,5573,1503,1685,1398,533,499,483
4121,12776,13752,14207,8813,8693,8554,5423,4805,5583,1519,1634,1398,533,500,486
4221,12809,13882,14239,8823,8703,8574,5473,4845,5603,1513,1663,1394,537,498,498
4321,12776,13784,14239,8783,8723,8584,5423,4815,5603,1535,1640,1385,539,496,494
4421,12809,13817,14272,8783,8703,8584,5463,4815,5603,1516,1663,1401,536,504,488
4521,12809,13849,14207,8793,8713,8574,5453,4845,5633,1525,1666,1404,534,500,488
4621,12841,13817,14207,8843,8713,8564,5453,4835,5583,1484,1659,1414,529,502,486
4721,12841,13849,14239,8823,8723,8574,5463,4825,5613,1522,1666,1388,524,499,499
4821,12874,13849,14304,8863,8703,8584,5463,4815,5643,1528,1666,1398,542,506,504
4921,12841,13849,14239,8853,8733,8614,5483,4845,5633,1519,1682,1417,527,510,502
5021,12874,13914,14239,8853,8753,8584,5463,4845,5613,1532,1682,1404,536,514,482
5121,12841,13882,14272,8823,8743,8614,5483,4845,5633,1548,1653,1394,545,499,488
5221,12841,13882,14239,8863,8733,8614,5503,4875,5623,1532,1663,1407,551,504,479
5321,12874,13882,14272,8863,8743,8584,5493,4855,5652,1516,1675,1404,539,511,491
5421,12841,13882,14272,8843,8783,8624,5473,4875,5662,1522,1663,1391,538,508,494
5521,12841,13882,14272,8883,8773,8624,5483,4855,5652,1528,1698,1414,524,507,512
5621,12841,13882,14272,8873,8773,8614,5473,4855,5652,1554,1672,1410,545,495,508
5721,12874,13914,14272,8873,8783,8624,5493,4855,5643,1525,1682,1404,518,504,506
5821,12906,13882,14304,8873,8773,8643,5473,4845,5692,1554,1694,1410,535,505,494
5921,12874,13882,14272,8883,8773,8653,5483,4865,5623,1503,1698,1407,536,510,472
6021,12906,13882,14304,8853,8773,8653,5493,4895,5623,1538,1666,1423,532,490,477
